,Unnamed: 0,id,idContext,info,disease,type,context,question,result,A,B,C,D,evidence_A_other,evidence_B_other,evidence_C_other,evidence_D_other
0,106,400397.0,564.0,Các biện_pháp điều_trị .,Trào ngược dạ_dày thực_quản .,Single-Choice.,"Bác_sĩ có_thể khuyên người_bệnh nên thử điều_chỉnh lối sống và sử_dụng thuốc không kê đơn trước . Nếu người_bệnh không thấy các triệu_chứng trong vài tuần , bác_sĩ có_thể kê đơn thuốc theo toa hoặc phẫu_thuật . Thuốc không kê đơn gồm : Thuốc trung_hoà axit dạ_dày như Mylanta , Rolaids và Tums , có_thể giúp giảm đau nhanh_chóng . Nhưng chỉ sử_dụng đơn_lẻ thuốc trung_hoà axit sẽ không chữa lành được thực_quản bị viêm do axit dạ_dày . Việc lạm_dụng một_số thuốc kháng axit có_thể gây ra tác_dụng phụ , như tiêu_chảy hoặc đôi_khi là các vấn_đề về thận . Thuốc làm giảm sản_xuất axit như thuốc chẹn thụ thể H-2 . Thuốc chẹn thụ thể H-2 không hoạt_động nhanh như thuốc trung_hoà axit , nhưng chúng giúp giảm đau lâu hơn và có_thể làm giảm sản_xuất axit từ dạ_dày đến 12 giờ . Các loại thuốc ngăn_chặn sản_xuất axit và chữa lành thực_quản . Những loại thuốc này - được gọi là thuốc ức_chế bơm proton - là chất ức_chế axit mạnh hơn thuốc ức_chế thụ thể H-2 và tạo điều_kiện cho mô ở thực_quản bị tổn_thương có thời_gian lành lại . Thuốc kê đơn gồm : Thuốc ức_chế thụ thể H-2 có kê đơn . Những loại thuốc nhóm này thường được dung_nạp tốt nhưng sử_dụng lâu_dài có_thể liên_quan đến việc tăng nguy_cơ thiếu vitamin B-12 và gãy xương . Thuốc ức_chế bơm proton có kê đơn ( Prescription-strength proton pump inhibitors ) . Mặc_dù thường dung_nạp tốt , nhưng nhóm thuốc này có_thể gây tiêu_chảy , đau_đầu , buồn_nôn và thiếu vitamin B-12 . Sử_dụng lâu_dài có_thể làm tăng nguy_cơ gãy xương hông . Thuốc tăng_cường cơ_thắt thực_quản dưới . Baclofen có_thể làm giảm GERD bằng cách giảm tần_suất thư_giãn của cơ_thắt thực_quản dưới . Tác_dụng phụ có_thể bao_gồm mệt_mỏi hoặc buồn_nôn . Thuốc tăng co thắt cơ thực_quản dưới . Trào ngược dạ_dày thực_quản thường có_thể được kiểm_soát bằng thuốc . Nhưng nếu thuốc không có hiệu_quả hoặc người_bệnh muốn tránh tác_dụng phụ của thuốc khi sử_dụng lâu_dài , bác_sĩ có_thể khuyên bạn : Phẫu_thuật để củng_cố cơ_vòng thực_quản dưới ( Fundoplication ) , phẫu_thuật sẽ thắt chặt các cơ_vòng thực_quản dưới để ngăn_chặn trào ngược bằng cách mổ nội_soi . Hệ_thống LINX ( LINX device ) là một vòng các hạt từ_tính nhỏ được quấn quanh cơ_vòng thực_quản ( LES ) . Tác_dụng của các hạt nam_châm được thiết_kế nhằm cung_cấp thêm lực để giữ cho cơ_vòng thực_quản yếu luôn được đóng kín . Trong khi nuốt , lực giữa các hạt là vượt qua bởi áp_lực cao hơn của lực nuốt và dụng_cụ giãn ra để nuốt trôi thức_ăn hoặc dịch lỏng như bình_thường . Khi thức_ăn đi qua cơ_vòng thực_quản , thiết_bị sẽ trở_lại trạng_thái bình_thường . Thiết_bị này được cấy bằng phẫu_thuật nội_soi ít xâm_lấn ( Minimally invasive surgery ) .","Bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị , nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh . Đâu là loại thuốc mà bệnh_nhân có_thể uống thoải_mái mà không cần chỉ_định của bác_sĩ ?",A.,Mylanta .,Thuốc ức_chế thụ thể H-2 .,Thuốc ức_chế bơm proton .,Thuốc tăng_cường cơ_thắt thực_quản dưới .,,,,
1,107,400398.0,564.0,Các biện_pháp điều_trị .,Trào ngược dạ_dày thực_quản .,Multi-Choice.,"Bác_sĩ có_thể khuyên người_bệnh nên thử điều_chỉnh lối sống và sử_dụng thuốc không kê đơn trước . Nếu người_bệnh không thấy các triệu_chứng trong vài tuần , bác_sĩ có_thể kê đơn thuốc theo toa hoặc phẫu_thuật . Thuốc không kê đơn gồm : Thuốc trung_hoà axit dạ_dày như Mylanta , Rolaids và Tums , có_thể giúp giảm đau nhanh_chóng . Nhưng chỉ sử_dụng đơn_lẻ thuốc trung_hoà axit sẽ không chữa lành được thực_quản bị viêm do axit dạ_dày . Việc lạm_dụng một_số thuốc kháng axit có_thể gây ra tác_dụng phụ , như tiêu_chảy hoặc đôi_khi là các vấn_đề về thận . Thuốc làm giảm sản_xuất axit như thuốc chẹn thụ thể H-2 . Thuốc chẹn thụ thể H-2 không hoạt_động nhanh như thuốc trung_hoà axit , nhưng chúng giúp giảm đau lâu hơn và có_thể làm giảm sản_xuất axit từ dạ_dày đến 12 giờ . Các loại thuốc ngăn_chặn sản_xuất axit và chữa lành thực_quản . Những loại thuốc này - được gọi là thuốc ức_chế bơm proton - là chất ức_chế axit mạnh hơn thuốc ức_chế thụ thể H-2 và tạo điều_kiện cho mô ở thực_quản bị tổn_thương có thời_gian lành lại . Thuốc kê đơn gồm : Thuốc ức_chế thụ thể H-2 có kê đơn . Những loại thuốc nhóm này thường được dung_nạp tốt nhưng sử_dụng lâu_dài có_thể liên_quan đến việc tăng nguy_cơ thiếu vitamin B-12 và gãy xương . Thuốc ức_chế bơm proton có kê đơn ( Prescription-strength proton pump inhibitors ) . Mặc_dù thường dung_nạp tốt , nhưng nhóm thuốc này có_thể gây tiêu_chảy , đau_đầu , buồn_nôn và thiếu vitamin B-12 . Sử_dụng lâu_dài có_thể làm tăng nguy_cơ gãy xương hông . Thuốc tăng_cường cơ_thắt thực_quản dưới . Baclofen có_thể làm giảm GERD bằng cách giảm tần_suất thư_giãn của cơ_thắt thực_quản dưới . Tác_dụng phụ có_thể bao_gồm mệt_mỏi hoặc buồn_nôn . Thuốc tăng co thắt cơ thực_quản dưới . Trào ngược dạ_dày thực_quản thường có_thể được kiểm_soát bằng thuốc . Nhưng nếu thuốc không có hiệu_quả hoặc người_bệnh muốn tránh tác_dụng phụ của thuốc khi sử_dụng lâu_dài , bác_sĩ có_thể khuyên bạn : Phẫu_thuật để củng_cố cơ_vòng thực_quản dưới ( Fundoplication ) , phẫu_thuật sẽ thắt chặt các cơ_vòng thực_quản dưới để ngăn_chặn trào ngược bằng cách mổ nội_soi . Hệ_thống LINX ( LINX device ) là một vòng các hạt từ_tính nhỏ được quấn quanh cơ_vòng thực_quản ( LES ) . Tác_dụng của các hạt nam_châm được thiết_kế nhằm cung_cấp thêm lực để giữ cho cơ_vòng thực_quản yếu luôn được đóng kín . Trong khi nuốt , lực giữa các hạt là vượt qua bởi áp_lực cao hơn của lực nuốt và dụng_cụ giãn ra để nuốt trôi thức_ăn hoặc dịch lỏng như bình_thường . Khi thức_ăn đi qua cơ_vòng thực_quản , thiết_bị sẽ trở_lại trạng_thái bình_thường . Thiết_bị này được cấy bằng phẫu_thuật nội_soi ít xâm_lấn ( Minimally invasive surgery ) .","Bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị , nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh . Đâu là loại thuốc mà bệnh_nhân uống nhưng cần có chỉ_định của bác_sĩ ?","B , C , D.",Roland_Golds .,Thuốc ức_chế H-2 .,Thuốc ức_chế bơm proton .,Thuốc tăng_cường cơ_thắt thực_quản .,,,,
2,109,400399.0,564.0,Các biện_pháp điều_trị .,Trào ngược dạ_dày thực_quản .,Multi-Choice.,"Bác_sĩ có_thể khuyên người_bệnh nên thử điều_chỉnh lối sống và sử_dụng thuốc không kê đơn trước . Nếu người_bệnh không thấy các triệu_chứng trong vài tuần , bác_sĩ có_thể kê đơn thuốc theo toa hoặc phẫu_thuật . Thuốc không kê đơn gồm : Thuốc trung_hoà axit dạ_dày như Mylanta , Rolaids và Tums , có_thể giúp giảm đau nhanh_chóng . Nhưng chỉ sử_dụng đơn_lẻ thuốc trung_hoà axit sẽ không chữa lành được thực_quản bị viêm do axit dạ_dày . Việc lạm_dụng một_số thuốc kháng axit có_thể gây ra tác_dụng phụ , như tiêu_chảy hoặc đôi_khi là các vấn_đề về thận . Thuốc làm giảm sản_xuất axit như thuốc chẹn thụ thể H-2 . Thuốc chẹn thụ thể H-2 không hoạt_động nhanh như thuốc trung_hoà axit , nhưng chúng giúp giảm đau lâu hơn và có_thể làm giảm sản_xuất axit từ dạ_dày đến 12 giờ . Các loại thuốc ngăn_chặn sản_xuất axit và chữa lành thực_quản . Những loại thuốc này - được gọi là thuốc ức_chế bơm proton - là chất ức_chế axit mạnh hơn thuốc ức_chế thụ thể H-2 và tạo điều_kiện cho mô ở thực_quản bị tổn_thương có thời_gian lành lại . Thuốc kê đơn gồm : Thuốc ức_chế thụ thể H-2 có kê đơn . Những loại thuốc nhóm này thường được dung_nạp tốt nhưng sử_dụng lâu_dài có_thể liên_quan đến việc tăng nguy_cơ thiếu vitamin B-12 và gãy xương . Thuốc ức_chế bơm proton có kê đơn ( Prescription-strength proton pump inhibitors ) . Mặc_dù thường dung_nạp tốt , nhưng nhóm thuốc này có_thể gây tiêu_chảy , đau_đầu , buồn_nôn và thiếu vitamin B-12 . Sử_dụng lâu_dài có_thể làm tăng nguy_cơ gãy xương hông . Thuốc tăng_cường cơ_thắt thực_quản dưới . Baclofen có_thể làm giảm GERD bằng cách giảm tần_suất thư_giãn của cơ_thắt thực_quản dưới . Tác_dụng phụ có_thể bao_gồm mệt_mỏi hoặc buồn_nôn . Thuốc tăng co thắt cơ thực_quản dưới . Trào ngược dạ_dày thực_quản thường có_thể được kiểm_soát bằng thuốc . Nhưng nếu thuốc không có hiệu_quả hoặc người_bệnh muốn tránh tác_dụng phụ của thuốc khi sử_dụng lâu_dài , bác_sĩ có_thể khuyên bạn : Phẫu_thuật để củng_cố cơ_vòng thực_quản dưới ( Fundoplication ) , phẫu_thuật sẽ thắt chặt các cơ_vòng thực_quản dưới để ngăn_chặn trào ngược bằng cách mổ nội_soi . Hệ_thống LINX ( LINX device ) là một vòng các hạt từ_tính nhỏ được quấn quanh cơ_vòng thực_quản ( LES ) . Tác_dụng của các hạt nam_châm được thiết_kế nhằm cung_cấp thêm lực để giữ cho cơ_vòng thực_quản yếu luôn được đóng kín . Trong khi nuốt , lực giữa các hạt là vượt qua bởi áp_lực cao hơn của lực nuốt và dụng_cụ giãn ra để nuốt trôi thức_ăn hoặc dịch lỏng như bình_thường . Khi thức_ăn đi qua cơ_vòng thực_quản , thiết_bị sẽ trở_lại trạng_thái bình_thường . Thiết_bị này được cấy bằng phẫu_thuật nội_soi ít xâm_lấn ( Minimally invasive surgery ) .","Trong các phương_thuốc điều_trị bệnh trào ngược dạ_dày thực_quản , có rất nhiều tác_dụng phụ nếu bạn dùng thuốc quá nhiều . Đâu là dấu_hiệu chỉ của ức_chế thụ thể . H-2 báo_hiệu việc bạn đã quá lạm_dụng thuốc ức_chế bơm proton ?","C , D.",Tiêu_chảy .,Các bệnh về thận .,Đau_đầu .,Buồn_nôn .,,,,
3,143,400295.0,586.0,Các biện_pháp chẩn_đoán .,Tiêu_chảy cấp .,Single-Choice.,"Bác_sĩ sẽ hỏi về tiền_sử bệnh_tật , xem_xét các loại thuốc đang sử_dụng , khám thực_thể và thực_hiện một_số xét_nghiệm để xác_định nguyên_nhân gây ra bệnh tiêu_chảy cấp như : Xét_nghiệm công_thức máu giúp chỉ ra nguyên_nhân gây ra tiêu_chảy . Xét_nghiệm phân để xem vi_khuẩn hoặc ký_sinh_trùng gây tiêu_chảy hay không . Soi hậu_môn và tràng sigma .","Chị Uyên đến gặp bác_sĩ sau khi có triệu_chứng đau bụng , đại_tiện khó_khăn và sụt cân bất_thường . Bác_sĩ cho rằng chị đã bị bệnh tiêu_chảy cấp và cần làm rõ nguyên_nhân gây tiêu_chảy . Lúc này bác_sĩ sẽ dùng biện_pháp nào ?",A.,Xét_nghiệm máu .,Xét_nghiệm phân .,Soi hậu_môn .,Soi tràng sigma .,,,,
4,144,400297.0,586.0,Các biện_pháp chẩn_đoán .,Tiêu_chảy cấp .,Multi-Choice.,"Bác_sĩ sẽ hỏi về tiền_sử bệnh_tật , xem_xét các loại thuốc đang sử_dụng , khám thực_thể và thực_hiện một_số xét_nghiệm để xác_định nguyên_nhân gây ra bệnh tiêu_chảy cấp như : Xét_nghiệm công_thức máu giúp chỉ ra nguyên_nhân gây ra tiêu_chảy . Xét_nghiệm phân để xem vi_khuẩn hoặc ký_sinh_trùng gây tiêu_chảy hay không . Soi hậu_môn và tràng sigma .","Nhằm tìm ra nguyên_nhân gây bệnh của tiêu_chảy cấp , bác_sĩ sẽ tiến_hành khám thực_thể thực_hiện mốt số xét_nghiệm . Những loại xét_nghiệm nào sẽ được tiến_hành ?","A , B.",Xét_nghiệm máu .,Xét_nghiệm phân .,Xét_nghiệm nước_tiểu .,Xét_nghiệm sinh_hoá .,,,,
5,145,400296.0,586.0,Các biện_pháp chẩn_đoán .,Tiêu_chảy cấp .,Multi-Choice.,"Bác_sĩ sẽ hỏi về tiền_sử bệnh_tật , xem_xét các loại thuốc đang sử_dụng , khám thực_thể và thực_hiện một_số xét_nghiệm để xác_định nguyên_nhân gây ra bệnh tiêu_chảy cấp như : Xét_nghiệm công_thức máu giúp chỉ ra nguyên_nhân gây ra tiêu_chảy . Xét_nghiệm phân để xem vi_khuẩn hoặc ký_sinh_trùng gây tiêu_chảy hay không . Soi hậu_môn và tràng sigma .","Để có_thể tìm ra rõ nguyên_nhân gây ra bệnh tiêu_chảy cấp , bác_sĩ sẽ phải tiến_hành một_số loại xét_nghiệm và xem_xét về thể_trạng của bệnh_nhân . Những yếu_tố nào sẽ được bác_sĩ xem_xét ?","A , C.",Tiền_sử bệnh .,Chế_độ ăn_uống .,Loại thuốc đang sử_dụng .,Chế_độ sinh_hoạt .,,,,
6,256,400171.0,691.0,Đối_tượng nguy_cơ .,Lệch khớp cắn .,Multi-Choice.,Bất_kỳ người nào cũng có nguy_cơ mắc bệnh sai_lệch khớp cắn .,"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Trường_hợp nào dưới đây có nguy_cơ mắc bệnh sai_lệch khớp cắn ?","A , B , C , D.",Bé Hồng 5 tuổi có thói_quen mút tay và ngậm ti giả .,"Bé Hải , 6 tuổi , thường_xuyên chăm_sóc răng miệng qua_loa .",Bé Hiền có tình_trạng mất răng_sữa sớm .,Bé Hoàng có tình_trạng răng hô do gia_đình bé có nhiều người như_vậy .,,,,
7,257,400170.0,691.0,Đối_tượng nguy_cơ .,Lệch khớp cắn .,Single-Choice.,Bất_kỳ người nào cũng có nguy_cơ mắc bệnh sai_lệch khớp cắn .,"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Vậy đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",D.,Trẻ nhỏ chưa mọc đủ răng .,Người_lớn .,Trẻ nhỏ sau khi mọc đủ răng .,Bất_kỳ người nào cũng có nguy_cơ .,,,,
8,258,400172.0,691.0,Đối_tượng nguy_cơ .,Lệch khớp cắn .,Multi-Choice.,Bất_kỳ người nào cũng có nguy_cơ mắc bệnh sai_lệch khớp cắn .,"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn ?","A , B , C , D.",Anh Hoàng có bị đấm vào mặt khi tham_gia boxing .,Con của vợ_chồng cô Hương có cha_mẹ đều bị móm .,Bé Hoàn_bị mất răng khi bé té ngã khi đang chơi với bạn .,Chị Nghi khi phục hình phẫu_thuật thẩm_mỹ vùng hàm mặt ở cơ_sở không uy_tín .,,,,
9,299,300227.0,381.0,Các biện_pháp điều_trị .,Kawasaki ( viêm mạch_máu ) .,Multi-Choice.,"Bệnh Kawasaki được điều_trị như_thế_nào ? Điều_trị đặc_hiệu : Bệnh có tính_chất nghiêm_trọng vì liên_quan đến tổn_thương mạch vành , do_đó trẻ mắc bệnh Kawasaki cần được điều_trị sớm với Gamma globulin ( một thành_phần protein trong máu người ) liều cao tiêm tĩnh_mạch . Sử_dụng Gamma globulin trong 10 ngày đầu_tiên bị bệnh cho thấy hiệu_quả cao trong việc giảm viêm và ngăn_ngừa biến_chứng lên mạch vành . Điều_trị triệu_chứng : trong giai_đoạn cấp_tính , bệnh_nhân có thê được chỉ_định Aspirin song-song với điều_trị Gamma globulin , cho đến khi giảm sốt . Điều_trị tổn_thương tim_mạch : Nếu thông_qua các phương_tiện cận lâm_sàng phát_hiện có chứng phình động_mạch_vành , hoặc bất_kỳ dấu_hiệu bất_thường khác trên tim_mạch , cần phải điều_trị nội_khoa hoặc can_thiệp phẫu_thuật tim_mạch . Bệnh_nhân cần được theo_dõi các vấn_đề liên_quan đến tim_mạch trong nhiều năm sau khi khỏi bệnh Kawasaki . Biến_chứng do điều_trị : khá hiếm . Gamma globulin : Thỉnh_thoảng , bệnh_nhân có_thể có triệu_chứng sốt , ớn lạnh trong khi tiêm thuốc . Lúc này , phải ngừng tiêm ngay và xử_trí với Antihistamin trước khi tiêm lại . Aspirin : Sử_dụng Aspirin liều cao có_thể gây đau bụng , xuất_huyết dạ_dày . ù tai . thở nhanh nông . sốt trở_lại hoắc xuất_hiện các triệu_chứng khác của bệnh Kawasaki ( các dấu_hiệu nhiễm_độc Aspirin ) . Khi có bất_kỳ triệu_chứng nào , bệnh_nhân cần được ngưng Aspirin . Hội_chứng Reye : xuất_hiện ở trẻ đang sử_dụng Aspirin liều cao tiếp_xúc với virus cúm hoặc thuỷ_đậu . Tóm_lại , bệnh Kawasaki là một tình_trạng bệnh_lý bất_thường liên_quan đến sự viêm các mạch_máu trong cơ_thể . Bệnh thường gặp ở trẻ nhỏ dưới 5 tuổi , đặc_biệt là trẻ_em Nhật_Bản và gốc Á. Nguyên_nhân gây bệnh vẫn chưa rõ_ràng . Bệnh biểu_hiện với triệu_chứng sốt , phát_ban , cùng với các triệu_chứng ở hạch , da , niêm_mạc . Chưa có bằng_chứng cho thấy bệnh Kawasaki có_thể lây_lan . Việc điều_trị sớm với Gammaglobulin có ý_nghĩa quan_trọng , giúp đẩy_lùi các biến_chứng nguy_hiểm , nhất_là tổn_thương mạch vành .","Kawasaki ( Viêm mạch_máu ) được biết là bệnh có tính_chất nghiêm_trọng vì liên_quan đến tổn_thương mạch vành . Trong quá_trình điều_trị đặc_hiệu , trẻ được điều_trị sớm với Gamma globulin ( một thành_phần protein trong máu người ) . Việc điều_trị bệnh Kawasaki với Gamma globulin có ý_nghĩa gì ?","A , B , D.",Ngăn_ngừa biến_chứng lên mạch vành .,Giảm viêm .,Giúp điều_trị khỏi hoàn_toàn bệnh .,Giảm sốt .,,,,
