context,result,question,A,B,C,D
"Cụ Ún làm nghề thầy cúng đã lâu năm. Khắp làng xa bản gần, nhà nào có người ốm cũng nhờ cụ đến cúng để đuổi tà ma. Nhiều người tôn cụ làm thầy, cắp sách theo cụ học nghề cúng bái.
Vậy mà gần một năm nay, chẳng hiểu cái ma nào làm cụ Ún ốm. Bụng cụ đau quặn, lắm lúc tưởng như có con dao cứa mạnh vào từng khúc ruột. các học trò của cụ đã nhiều lần cúng cho thầy mà bệnh tình không thuyên giảm. 
Thấy cha ngày càng đau nặng, con trai cụ khân khoản xin đưa cụ đi bệnh viện. Anh nói mãi, nể lời, cụ mới đi. 
Bác sĩ bảo cụ bị sỏi thận, phải mổ lấy sỏi ra. Cụ sợ mổ. Hơn nữa, cụ không tin bác sĩ người Kinh bắt được con ma người Thái. Thế là cụ trốn về nhà, Nhưng về đến nhà, cụ lại lên cơn đau quằn quại. Cụ bắt con mời thầy Vui, học trò giỏi nhất của cụ, đến cúng trừ ma. Cúng suốt ngày đêm, bệnh vẫn không lui.
Sáng hôm sau, bỗng có hai người mặc áo trắng tất tả phi ngựa đến. Hóa ra họ là bác sĩ và y tá bệnh viện đi tìm cụ Ún. Bác sĩ tiêm thuốc giảm đau, cụ Ún thấy đỡ. Ngồi bên giường người bệnh, ông bác sĩ ôn tồn giải thích. Gia đình lại đưa cụ lên bệnh viện. 
Nửa tháng sau, cụ Ún khỏi bệnh. Về nhà, cụ nói với bà con: 
-Từ nay, tôi dứt khoát bỏ nghề thầy cúng. Bà con ốm đau nên đi bệnh viện.",[A],Cụ Ún làm nghề gì?,Thầy cúng trừ ma chữa bệnh.,Ông lang chữa bệnh bằng thuốc nam.,Bác sĩ.,Nông dân.
"Cụ Ún làm nghề thầy cúng đã lâu năm. Khắp làng xa bản gần, nhà nào có người ốm cũng nhờ cụ đến cúng để đuổi tà ma. Nhiều người tôn cụ làm thầy, cắp sách theo cụ học nghề cúng bái.
Vậy mà gần một năm nay, chẳng hiểu cái ma nào làm cụ Ún ốm. Bụng cụ đau quặn, lắm lúc tưởng như có con dao cứa mạnh vào từng khúc ruột. các học trò của cụ đã nhiều lần cúng cho thầy mà bệnh tình không thuyên giảm. 
Thấy cha ngày càng đau nặng, con trai cụ khân khoản xin đưa cụ đi bệnh viện. Anh nói mãi, nể lời, cụ mới đi. 
Bác sĩ bảo cụ bị sỏi thận, phải mổ lấy sỏi ra. Cụ sợ mổ. Hơn nữa, cụ không tin bác sĩ người Kinh bắt được con ma người Thái. Thế là cụ trốn về nhà, Nhưng về đến nhà, cụ lại lên cơn đau quằn quại. Cụ bắt con mời thầy Vui, học trò giỏi nhất của cụ, đến cúng trừ ma. Cúng suốt ngày đêm, bệnh vẫn không lui.
Sáng hôm sau, bỗng có hai người mặc áo trắng tất tả phi ngựa đến. Hóa ra họ là bác sĩ và y tá bệnh viện đi tìm cụ Ún. Bác sĩ tiêm thuốc giảm đau, cụ Ún thấy đỡ. Ngồi bên giường người bệnh, ông bác sĩ ôn tồn giải thích. Gia đình lại đưa cụ lên bệnh viện. 
Nửa tháng sau, cụ Ún khỏi bệnh. Về nhà, cụ nói với bà con: 
-Từ nay, tôi dứt khoát bỏ nghề thầy cúng. Bà con ốm đau nên đi bệnh viện.",[C],Khi mắc bệnh cụ đã làm gì?,Uống thuốc.,Phẫu thuật.,Cúng bái trừ ma.,Tiêm thuốc.
"Cụ Ún làm nghề thầy cúng đã lâu năm. Khắp làng xa bản gần, nhà nào có người ốm cũng nhờ cụ đến cúng để đuổi tà ma. Nhiều người tôn cụ làm thầy, cắp sách theo cụ học nghề cúng bái.
Vậy mà gần một năm nay, chẳng hiểu cái ma nào làm cụ Ún ốm. Bụng cụ đau quặn, lắm lúc tưởng như có con dao cứa mạnh vào từng khúc ruột. các học trò của cụ đã nhiều lần cúng cho thầy mà bệnh tình không thuyên giảm. 
Thấy cha ngày càng đau nặng, con trai cụ khân khoản xin đưa cụ đi bệnh viện. Anh nói mãi, nể lời, cụ mới đi. 
Bác sĩ bảo cụ bị sỏi thận, phải mổ lấy sỏi ra. Cụ sợ mổ. Hơn nữa, cụ không tin bác sĩ người Kinh bắt được con ma người Thái. Thế là cụ trốn về nhà, Nhưng về đến nhà, cụ lại lên cơn đau quằn quại. Cụ bắt con mời thầy Vui, học trò giỏi nhất của cụ, đến cúng trừ ma. Cúng suốt ngày đêm, bệnh vẫn không lui.
Sáng hôm sau, bỗng có hai người mặc áo trắng tất tả phi ngựa đến. Hóa ra họ là bác sĩ và y tá bệnh viện đi tìm cụ Ún. Bác sĩ tiêm thuốc giảm đau, cụ Ún thấy đỡ. Ngồi bên giường người bệnh, ông bác sĩ ôn tồn giải thích. Gia đình lại đưa cụ lên bệnh viện. 
Nửa tháng sau, cụ Ún khỏi bệnh. Về nhà, cụ nói với bà con: 
-Từ nay, tôi dứt khoát bỏ nghề thầy cúng. Bà con ốm đau nên đi bệnh viện.",[C],Vì sao cụ không chịu mổ mà trốn viện về nhà?,Vì cụ sợ mổ.,Vì cụ không tin bác sĩ kinh bắt được con ma người Thái.,Cả hai lí do trên.,Không phải hai lí do trên.
"Cụ Ún làm nghề thầy cúng đã lâu năm. Khắp làng xa bản gần, nhà nào có người ốm cũng nhờ cụ đến cúng để đuổi tà ma. Nhiều người tôn cụ làm thầy, cắp sách theo cụ học nghề cúng bái.
Vậy mà gần một năm nay, chẳng hiểu cái ma nào làm cụ Ún ốm. Bụng cụ đau quặn, lắm lúc tưởng như có con dao cứa mạnh vào từng khúc ruột. các học trò của cụ đã nhiều lần cúng cho thầy mà bệnh tình không thuyên giảm. 
Thấy cha ngày càng đau nặng, con trai cụ khân khoản xin đưa cụ đi bệnh viện. Anh nói mãi, nể lời, cụ mới đi. 
Bác sĩ bảo cụ bị sỏi thận, phải mổ lấy sỏi ra. Cụ sợ mổ. Hơn nữa, cụ không tin bác sĩ người Kinh bắt được con ma người Thái. Thế là cụ trốn về nhà, Nhưng về đến nhà, cụ lại lên cơn đau quằn quại. Cụ bắt con mời thầy Vui, học trò giỏi nhất của cụ, đến cúng trừ ma. Cúng suốt ngày đêm, bệnh vẫn không lui.
Sáng hôm sau, bỗng có hai người mặc áo trắng tất tả phi ngựa đến. Hóa ra họ là bác sĩ và y tá bệnh viện đi tìm cụ Ún. Bác sĩ tiêm thuốc giảm đau, cụ Ún thấy đỡ. Ngồi bên giường người bệnh, ông bác sĩ ôn tồn giải thích. Gia đình lại đưa cụ lên bệnh viện. 
Nửa tháng sau, cụ Ún khỏi bệnh. Về nhà, cụ nói với bà con: 
-Từ nay, tôi dứt khoát bỏ nghề thầy cúng. Bà con ốm đau nên đi bệnh viện.",[B],Cụ Ún nhận ra điều gì?,Không nên sợ phẫu thuật.,"Không nên mê tín dị đoan, ốm đau phải đi bệnh viện chữa trị.",Đang chữa bệnh ở bệnh viện không được về nhà.,Bác sĩ có khả năng bắt ma Thái.
"Cụ Ún làm nghề thầy cúng đã lâu năm. Khắp làng xa bản gần, nhà nào có người ốm cũng nhờ cụ đến cúng để đuổi tà ma. Nhiều người tôn cụ làm thầy, cắp sách theo cụ học nghề cúng bái.
Vậy mà gần một năm nay, chẳng hiểu cái ma nào làm cụ Ún ốm. Bụng cụ đau quặn, lắm lúc tưởng như có con dao cứa mạnh vào từng khúc ruột. các học trò của cụ đã nhiều lần cúng cho thầy mà bệnh tình không thuyên giảm. 
Thấy cha ngày càng đau nặng, con trai cụ khân khoản xin đưa cụ đi bệnh viện. Anh nói mãi, nể lời, cụ mới đi. 
Bác sĩ bảo cụ bị sỏi thận, phải mổ lấy sỏi ra. Cụ sợ mổ. Hơn nữa, cụ không tin bác sĩ người Kinh bắt được con ma người Thái. Thế là cụ trốn về nhà, Nhưng về đến nhà, cụ lại lên cơn đau quằn quại. Cụ bắt con mời thầy Vui, học trò giỏi nhất của cụ, đến cúng trừ ma. Cúng suốt ngày đêm, bệnh vẫn không lui.
Sáng hôm sau, bỗng có hai người mặc áo trắng tất tả phi ngựa đến. Hóa ra họ là bác sĩ và y tá bệnh viện đi tìm cụ Ún. Bác sĩ tiêm thuốc giảm đau, cụ Ún thấy đỡ. Ngồi bên giường người bệnh, ông bác sĩ ôn tồn giải thích. Gia đình lại đưa cụ lên bệnh viện. 
Nửa tháng sau, cụ Ún khỏi bệnh. Về nhà, cụ nói với bà con: 
-Từ nay, tôi dứt khoát bỏ nghề thầy cúng. Bà con ốm đau nên đi bệnh viện.",[C],Từ nào dưới đây trái nghĩa với từ chìm?,Trôi.,Lặn.,Nổi.,Bơi.
"Từ sáng sớm, các môn sinh đã tề tựu trước sân nhà cụ giáo Chu để mừng thọ thầy. Cụ giáo đội khăn ngay ngắn, mặc áo dài thâm ngồi trên sập. Mấy học trò cũ từ xa về dâng biếu thầy những cuốn sách quý. Cụ giáo hỏi thăm công việc của từng người, bảo ban các học trò nhỏ, rồi nói:

- Thầy cảm ơn các anh. Bây giờ, nhân có đông đủ môn sinh, thầy muốn mời tất cả các anh theo thầy tới thăm một người mà thầy mang ơn rất nặng.

Các môn sinh đồng thanh dạ ran. Thế là cụ giáo Chu đi trước, học trò theo sau. Các anh có tuổi đi sau thầy, người ít tuổi hơn nhường bước, cuối cùng là mấy chú tóc để trái đào. Cụ giáo Chu dẫn học trò đi về cuối làng, sang tận thôn Đoài, đến một ngôi nhà tranh đơn sơ mà sáng sủa, ấm cúng. Ở hiên trước, một cụ già trên tám mươi tuổi râu tóc bạc phơ đang ngồi sưởi nắng. Cụ giáo Chu bước vào sân, chắp tay cung kính vái và nói ta:

- Lạy thầy! Hôm nay con đem tất cả môn sinh đến tạ ơn thầy.

Cụ già tóc bạc ngước lên, nghiêng đầu nghe. Cụ đã nặng tai. Thầy giáo Chu lại nói to câu nói vừa rồi một lần nữa. Thì ra đây là cụ đồ xưa kia đã dạy vỡ lòng cho thầy.

Tiếp sau cụ giáo Chu, các môn sinh của cụ lần lượt theo lứa tuổi vái tạ cụ đồ già. Ngày mừng thọ thầy Chu năm ấy, họ được thêm một bài học thấm thía về nghĩa thầy trò.",[B],Các môn sinh của cụ giáo Chu đến nhà thầy để làm gì?,Học chữ.,Mừng thọ thầy.,Thăm sức khỏe thầy.,Tặng thầy sách.
"Từ sáng sớm, các môn sinh đã tề tựu trước sân nhà cụ giáo Chu để mừng thọ thầy. Cụ giáo đội khăn ngay ngắn, mặc áo dài thâm ngồi trên sập. Mấy học trò cũ từ xa về dâng biếu thầy những cuốn sách quý. Cụ giáo hỏi thăm công việc của từng người, bảo ban các học trò nhỏ, rồi nói:

- Thầy cảm ơn các anh. Bây giờ, nhân có đông đủ môn sinh, thầy muốn mời tất cả các anh theo thầy tới thăm một người mà thầy mang ơn rất nặng.

Các môn sinh đồng thanh dạ ran. Thế là cụ giáo Chu đi trước, học trò theo sau. Các anh có tuổi đi sau thầy, người ít tuổi hơn nhường bước, cuối cùng là mấy chú tóc để trái đào. Cụ giáo Chu dẫn học trò đi về cuối làng, sang tận thôn Đoài, đến một ngôi nhà tranh đơn sơ mà sáng sủa, ấm cúng. Ở hiên trước, một cụ già trên tám mươi tuổi râu tóc bạc phơ đang ngồi sưởi nắng. Cụ giáo Chu bước vào sân, chắp tay cung kính vái và nói ta:

- Lạy thầy! Hôm nay con đem tất cả môn sinh đến tạ ơn thầy.

Cụ già tóc bạc ngước lên, nghiêng đầu nghe. Cụ đã nặng tai. Thầy giáo Chu lại nói to câu nói vừa rồi một lần nữa. Thì ra đây là cụ đồ xưa kia đã dạy vỡ lòng cho thầy.

Tiếp sau cụ giáo Chu, các môn sinh của cụ lần lượt theo lứa tuổi vái tạ cụ đồ già. Ngày mừng thọ thầy Chu năm ấy, họ được thêm một bài học thấm thía về nghĩa thầy trò.",[B],Cụ giáo Chu dẫn học trò của mình đi thăm ai?,Trưởng làng.,Thầy giáo dạy vỡ lòng của cụ.,Thân mẫu của cụ.,Phụ thân của cụ.
"Từ sáng sớm, các môn sinh đã tề tựu trước sân nhà cụ giáo Chu để mừng thọ thầy. Cụ giáo đội khăn ngay ngắn, mặc áo dài thâm ngồi trên sập. Mấy học trò cũ từ xa về dâng biếu thầy những cuốn sách quý. Cụ giáo hỏi thăm công việc của từng người, bảo ban các học trò nhỏ, rồi nói:

- Thầy cảm ơn các anh. Bây giờ, nhân có đông đủ môn sinh, thầy muốn mời tất cả các anh theo thầy tới thăm một người mà thầy mang ơn rất nặng.

Các môn sinh đồng thanh dạ ran. Thế là cụ giáo Chu đi trước, học trò theo sau. Các anh có tuổi đi sau thầy, người ít tuổi hơn nhường bước, cuối cùng là mấy chú tóc để trái đào. Cụ giáo Chu dẫn học trò đi về cuối làng, sang tận thôn Đoài, đến một ngôi nhà tranh đơn sơ mà sáng sủa, ấm cúng. Ở hiên trước, một cụ già trên tám mươi tuổi râu tóc bạc phơ đang ngồi sưởi nắng. Cụ giáo Chu bước vào sân, chắp tay cung kính vái và nói ta:

- Lạy thầy! Hôm nay con đem tất cả môn sinh đến tạ ơn thầy.

Cụ già tóc bạc ngước lên, nghiêng đầu nghe. Cụ đã nặng tai. Thầy giáo Chu lại nói to câu nói vừa rồi một lần nữa. Thì ra đây là cụ đồ xưa kia đã dạy vỡ lòng cho thầy.

Tiếp sau cụ giáo Chu, các môn sinh của cụ lần lượt theo lứa tuổi vái tạ cụ đồ già. Ngày mừng thọ thầy Chu năm ấy, họ được thêm một bài học thấm thía về nghĩa thầy trò.",[D],Câu chuyện trên nhắc em nhớ đến truyền thống nào của dân tộc?,Lá lành đùm lá rách.,Thương người như thể thương thân.,Yêu thương anh chị em.,Tôn sư trọng đạo.
"Từ sáng sớm, các môn sinh đã tề tựu trước sân nhà cụ giáo Chu để mừng thọ thầy. Cụ giáo đội khăn ngay ngắn, mặc áo dài thâm ngồi trên sập. Mấy học trò cũ từ xa về dâng biếu thầy những cuốn sách quý. Cụ giáo hỏi thăm công việc của từng người, bảo ban các học trò nhỏ, rồi nói:

- Thầy cảm ơn các anh. Bây giờ, nhân có đông đủ môn sinh, thầy muốn mời tất cả các anh theo thầy tới thăm một người mà thầy mang ơn rất nặng.

Các môn sinh đồng thanh dạ ran. Thế là cụ giáo Chu đi trước, học trò theo sau. Các anh có tuổi đi sau thầy, người ít tuổi hơn nhường bước, cuối cùng là mấy chú tóc để trái đào. Cụ giáo Chu dẫn học trò đi về cuối làng, sang tận thôn Đoài, đến một ngôi nhà tranh đơn sơ mà sáng sủa, ấm cúng. Ở hiên trước, một cụ già trên tám mươi tuổi râu tóc bạc phơ đang ngồi sưởi nắng. Cụ giáo Chu bước vào sân, chắp tay cung kính vái và nói ta:

- Lạy thầy! Hôm nay con đem tất cả môn sinh đến tạ ơn thầy.

Cụ già tóc bạc ngước lên, nghiêng đầu nghe. Cụ đã nặng tai. Thầy giáo Chu lại nói to câu nói vừa rồi một lần nữa. Thì ra đây là cụ đồ xưa kia đã dạy vỡ lòng cho thầy.

Tiếp sau cụ giáo Chu, các môn sinh của cụ lần lượt theo lứa tuổi vái tạ cụ đồ già. Ngày mừng thọ thầy Chu năm ấy, họ được thêm một bài học thấm thía về nghĩa thầy trò.",[A],Những thành ngữ nào sau đây nói lên bài học mà các môn sinh nhận được trong ngày mừng thọ cụ giáo Chu?,Uống nước nhớ nguồn.,"Tiên học lễ, hậu học văn.",Học thầy không tày học bạn.,"Học, học nữa, học mãi."
"Từ sáng sớm, các môn sinh đã tề tựu trước sân nhà cụ giáo Chu để mừng thọ thầy. Cụ giáo đội khăn ngay ngắn, mặc áo dài thâm ngồi trên sập. Mấy học trò cũ từ xa về dâng biếu thầy những cuốn sách quý. Cụ giáo hỏi thăm công việc của từng người, bảo ban các học trò nhỏ, rồi nói:

- Thầy cảm ơn các anh. Bây giờ, nhân có đông đủ môn sinh, thầy muốn mời tất cả các anh theo thầy tới thăm một người mà thầy mang ơn rất nặng.

Các môn sinh đồng thanh dạ ran. Thế là cụ giáo Chu đi trước, học trò theo sau. Các anh có tuổi đi sau thầy, người ít tuổi hơn nhường bước, cuối cùng là mấy chú tóc để trái đào. Cụ giáo Chu dẫn học trò đi về cuối làng, sang tận thôn Đoài, đến một ngôi nhà tranh đơn sơ mà sáng sủa, ấm cúng. Ở hiên trước, một cụ già trên tám mươi tuổi râu tóc bạc phơ đang ngồi sưởi nắng. Cụ giáo Chu bước vào sân, chắp tay cung kính vái và nói ta:

- Lạy thầy! Hôm nay con đem tất cả môn sinh đến tạ ơn thầy.

Cụ già tóc bạc ngước lên, nghiêng đầu nghe. Cụ đã nặng tai. Thầy giáo Chu lại nói to câu nói vừa rồi một lần nữa. Thì ra đây là cụ đồ xưa kia đã dạy vỡ lòng cho thầy.

Tiếp sau cụ giáo Chu, các môn sinh của cụ lần lượt theo lứa tuổi vái tạ cụ đồ già. Ngày mừng thọ thầy Chu năm ấy, họ được thêm một bài học thấm thía về nghĩa thầy trò.",[C],"Câu thành ngữ hoặc tục ngữ, ca dao nào sau đây có nội dung tương tự nội dung của câu chuyện trên?",Công cha như núi Thái Sơn/ Nghĩa mẹ như nước trong nguồn chảy ra.,Anh em như thể chân tay/ Rách lành đùm bọc dở hay đỡ đần.,Muốn sang thì bắc cầu Kiều/ Muốn con hay chữ thì yêu lấy thầy.,Bầu ơi thương lấy bí cùng/ Tuy rằng khác giống nhưng chung một giàn.
